Hoyo,Par,Handicap,Negras,Azules,Blancas,Doradas,Plateadas,Rojas
1,4,10,378,365,353,324,274,299
2,3,16,152,145,135,119,95,100
3,5,8,595,577,567,475,435,456
4,4,18,390,367,339,292,262,270
5,4,6,432,423,375,341,302,320
6,5,4,405,400,395,353,326,329
7,4,2,425,405,388,365,321,330
8,4,12,230,208,195,165,147,147
9,3,14,170,543,500,471,460,404
10,4,3,511,494,436,390,348,348
11,4,15,366,363,354,326,300,300
12,3,17,200,192,160,143,119,489
13,5,1,545,539,526,512,500,116
14,4,11,430,419,402,342,317,319
15,3,5,195,185,175,171,153,153
16,4,7,373,362,340,307,278,278
17,5,13,530,518,493,496,426,281
18,4,9,358,350,324,306,284,306
